type,value,source
ip,104.32.172.247,public
ip,142.127.171.133,public
ip,149.50.97.144,public
ip,157.131.172.74,public
ip,198.52.166.197,public
ip,199.127.61.200,public
ip,206.170.208.23,public
ip,209.222.98.200,public
ip,23.234.100.107,public
ip,23.234.100.235,public
ip,24.242.93.122,public
ip,37.15.73.132,public
ip,38.190.138.239,public
ip,67.21.178.234,public
ip,68.73.213.196,public
ip,73.135.228.98,public
ip,76.64.54.159,public
ip,76.70.74.63,public
ip,85.238.66.242,public
