type,value,source
domain,virustotal.com,public
domain,fgpvgwrvzd.es,public
domain,jginic.es,public
domain,eullsmfg.info,public
domain,derrevkep.info,public
domain,emmnmhdf.es,public
domain,lovagcvwydkx.es,public
domain,kfyubol.es,public
domain,icvdm.es,public
domain,vxlrxu.es,public
domain,pglprzi.es,public
domain,umihbqz.ru,public
domain,fvmqdkuc.es,public
domain,spetoran.com,public
domain,ywnhwmard.es,public
domain,ohbpjjugatk.es,public
domain,veqyidsqh.es,public
domain,fucbon.es,public
domain,dfujkn.es,public
domain,ostaleake.com,public
domain,aetld.es,public
domain,yomnmw.es,public
domain,bkmkgdj.es,public
domain,xnzehyq.es,public
domain,nwvqvxjc.es,public
domain,diiku.es,public
domain,zlitlzklwbjm.com,public
domain,nkanixqdmk.es,public
domain,flkzwaajwseo.es,public
domain,koroc.es,public
domain,xbsvtclqt.es,public
domain,wqvvxve.es,public
domain,oafhgkjl.es,public
domain,jzwmtwrqs.es,public
domain,zesvrebula.es,public
domain,gdfncih.es,public
domain,mzbcca.es,public
domain,isxhxzp.es,public
domain,kravzhotsr.com,public
domain,evvhgltqyxv.es,public
domain,lavaeqrry.es,public
domain,zfxcnwo.es,public
domain,yxzbawjcfydf.es,public
domain,dxaayc.es,public
domain,usvrfkyn.es,public
domain,fhhbnzs.es,public
domain,qpdpfsnjeodt.es,public
domain,czmtdcws.es,public
domain,uphivusxd.com,public
domain,velvetmyode.es,public
domain,lqvbznpfxgb.es,public
domain,jvabknpnhgyv.es,public
domain,dejzms.es,public
domain,ltemxqup.es,public
domain,qztmfuehazqd.es,public
domain,idecvcln.es,public
domain,kbcpisx.es,public
domain,prctqnfksgdl.es,public
domain,cmqhjq.es,public
domain,rhcdcnz.es,public
domain,uvycjg.es,public
domain,gebxux.es,public
domain,syyxmr.es,public
domain,quncdglk.es,public
domain,xmgeyv.es,public
domain,tvzuwx.es,public
domain,omxavje.es,public
domain,nhiewgr.es,public
domain,xzetbib.es,public
domain,ltudlo.es,public
domain,wujcphu.es,public
domain,wuatun.es,public
domain,lvjhvlg.es,public
domain,tfwnbbn.es,public
domain,djthnb.es,public
